account_id,loan_id,date,amount,duration,payments,status,order_id,bank_to,account_to,order_amount,order_k_symbol,trans_id,transaction_date,operation,transaction_amount,balance,transaction_k_symbol,bank,account,account_date,account_district_id,frequency,disp_id,disposition_client_id,disposition_type,card_id,card_disposition_id,card_type,card_issued,client_birth_number,district_id,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,Transaction_Type,Type_of_loan,Payment_type,Balance_type
5891,6202,940418,65184,12,5432,A,38118,EF,95617645,5432.3,UVER,1736607,930125,VKLAD,900,900,,,,930125,54,"POPLATEK MESICNE",7127,7127,OWNER,874,7127,gold,"971007 00:00:00",570929,3,Beroun,"central Bohemia",75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,CREDIT,Low_loan_taker,"High Payment","Low Balance"
1843,5325,930803,105804,36,2939,A,32104,QR,70984434,2938.7,UVER,541681,930130,VKLAD,1000,1000,,,,930130,12,"POPLATEK MESICNE",2235,2235,OWNER,352,2235,classic,"980911 00:00:00",405420,14,"Ceske Budejovice","south Bohemia",177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,CREDIT,Mid_loan_taker,"Low Payment","Low Balance"
1843,5325,930803,105804,36,2939,A,32105,QR,62958741,6994,SIPO,541681,930130,VKLAD,1000,1000,,,,930130,12,"POPLATEK MESICNE",2235,2235,OWNER,352,2235,classic,"980911 00:00:00",405420,14,"Ceske Budejovice","south Bohemia",177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,CREDIT,Mid_loan_taker,"Low Payment","Low Balance"
9265,6888,940711,39576,12,3298,A,43122,IJ,81887966,3298.3,UVER,2797771,930204,VKLAD,300,300,,,,930204,1,"POPLATEK MESICNE",11101,11409,OWNER,1100,11101,junior,"960410 00:00:00",805502,32,"Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,2.8,3.22,118,4340,4505,CREDIT,Low_loan_taker,"Mid Payament","Low Balance"
9265,6888,940711,39576,12,3298,A,43123,EF,98678969,9493,SIPO,2797771,930204,VKLAD,300,300,,,,930204,1,"POPLATEK MESICNE",11101,11409,OWNER,1100,11101,junior,"960410 00:00:00",805502,32,"Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,2.8,3.22,118,4340,4505,CREDIT,Low_loan_taker,"Mid Payament","Low Balance"
9265,6888,940711,39576,12,3298,A,43124,EF,84062218,4017," ",2797771,930204,VKLAD,300,300,,,,930204,1,"POPLATEK MESICNE",11101,11409,OWNER,1100,11101,junior,"960410 00:00:00",805502,32,"Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,2.8,3.22,118,4340,4505,CREDIT,Low_loan_taker,"Mid Payament","Low Balance"
1843,5325,930803,105804,36,2939,A,32104,QR,70984434,2938.7,UVER,541683,930207,"PREVOD Z UCTU",17632,18632,,QR,76294219,930130,12,"POPLATEK MESICNE",2235,2235,OWNER,352,2235,classic,"980911 00:00:00",405420,14,"Ceske Budejovice","south Bohemia",177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,CREDIT,Mid_loan_taker,"Low Payment","Low Balance"
1843,5325,930803,105804,36,2939,A,32105,QR,62958741,6994,SIPO,541683,930207,"PREVOD Z UCTU",17632,18632,,QR,76294219,930130,12,"POPLATEK MESICNE",2235,2235,OWNER,352,2235,classic,"980911 00:00:00",405420,14,"Ceske Budejovice","south Bohemia",177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,CREDIT,Mid_loan_taker,"Low Payment","Low Balance"
7753,6577,940311,51696,24,2154,A,40883,GH,62899923,2153.8,UVER,2349697,930208,VKLAD,600,600,,,,930208,74,"POPLATEK MESICNE",9285,9593,OWNER,1005,9285,classic,"931107 00:00:00",685128,74,"Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,4.75,5.44,100,18782,18347,CREDIT,Low_loan_taker,"Low Payment","Low Balance"
5622,6150,941102,83016,12,6918,A,37740,UV,45906978,6918.3,UVER,1657153,930208,VKLAD,700,700,,,,930208,70,"POPLATEK MESICNE",6789,6789,OWNER,857,6789,junior,"981025 00:00:00",790326,57,Hodonin,"south Moravia",161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,CREDIT,Low_loan_taker,"High Payment","Low Balance"
